name,latitude,longitude
Coyoacán,19.34370552,-99.11587469
Coyoacán,19.34353245,-99.11573141
Coyoacán,19.34343277,-99.1156582
Coyoacán,19.34326412,-99.11557154
Coyoacán,19.34291149,-99.11541565
Coyoacán,19.34266617,-99.1153072
Coyoacán,19.34251729,-99.1152429
Coyoacán,19.34233308,-99.11516334
Coyoacán,19.34223448,-99.11511508
Coyoacán,19.34187225,-99.11495277
Coyoacán,19.34097055,-99.11454875
Coyoacán,19.34079049,-99.11447549
Coyoacán,19.34067862,-99.11444706
Coyoacán,19.34058526,-99.11443222
Coyoacán,19.34042052,-99.11439675
Coyoacán,19.34007155,-99.11434483
Coyoacán,19.33983092,-99.11431182
Coyoacán,19.33922978,-99.11421591
Coyoacán,19.33901454,-99.11418257
Coyoacán,19.33896955,-99.11417763
Coyoacán,19.33863749,-99.11413566
Coyoacán,19.33824971,-99.11406845
Coyoacán,19.33813626,-99.1140386
Coyoacán,19.33795974,-99.1140204
Coyoacán,19.33763714,-99.11395678
Coyoacán,19.33733617,-99.11390745
Coyoacán,19.33692402,-99.11376392
Coyoacán,19.336648,-99.11359669
Coyoacán,19.33597726,-99.11321532
Coyoacán,19.33555858,-99.11302234
Coyoacán,19.33542932,-99.11296358
Coyoacán,19.33536849,-99.11293458
Coyoacán,19.3346344,-99.11243926
Coyoacán,19.33421826,-99.11215849
Coyoacán,19.33396334,-99.11193055
Coyoacán,19.33366702,-99.11161825
Coyoacán,19.33342488,-99.11126928
Coyoacán,19.33314335,-99.11072
Coyoacán,19.33307654,-99.11058965
Coyoacán,19.33304755,-99.11053825
Coyoacán,19.33296328,-99.11043038
Coyoacán,19.33287966,-99.11032337
Coyoacán,19.33269646,-99.11016755
Coyoacán,19.33258146,-99.11009231
Coyoacán,19.33233526,-99.10999674
Coyoacán,19.33229629,-99.1099816
Coyoacán,19.33180371,-99.10983887
Coyoacán,19.33173178,-99.10981803
Coyoacán,19.33146666,-99.10972111
Coyoacán,19.33131397,-99.10962974
Coyoacán,19.33086848,-99.10930506
Coyoacán,19.33060812,-99.10913969
Coyoacán,19.33030152,-99.10894497
Coyoacán,19.32979954,-99.10862126
Coyoacán,19.32938258,-99.1083524
Coyoacán,19.32935706,-99.10833594
